movie_name,year,genres,rating
The Heat,2013,"Action, Comedy, Crime",6.6
Runaway Jury,2003,"Crime, Drama, Thriller",7.1
Daredevil,2003,"Action, Crime",5.3
Fallen Angels,1995,"Comedy, Crime, Drama",7.6
The Bank Job,2008,"Crime, Drama, Thriller",7.2
I Don't Feel at Home in This World Anymore,2017,"Comedy, Crime, Drama",6.9
Beverly Hills Cop II,1987,"Action, Comedy, Crime",6.5
Exposed,2016,"Crime, Drama, Mystery",4.3
La haine,1995,"Crime, Drama",8.1
Lethal Weapon 3,1992,"Action, Crime, Thriller",6.7
U.S. Marshals,1998,"Action, Crime, Thriller",6.5
The Italian Job,1969,"Action, Comedy, Crime",7.2
21 Bridges,2019,"Action, Crime, Drama",6.6
Dog Day Afternoon,1975,"Biography, Crime, Drama",8.0
Reba McEntire's the Hammer,2023,"Biography, Crime, Drama",7.1
Bronson,2008,"Action, Crime, Drama",7.0
The Naked Gun: From the Files of Police Squad!,1988,"Comedy, Crime",7.6
Payback,1999,"Action, Crime, Drama",7.1
Mukundan Unni Associates,2022,"Comedy, Crime, Drama",8.0
The King of Comedy,1982,"Comedy, Crime, Drama",7.8
A Fish Called Wanda,1988,"Comedy, Crime",7.5
The Dry,2020,"Crime, Drama, Mystery",6.8
The Raid: Redemption,2011,"Action, Crime, Thriller",7.6
The Brothers Grimsby,2016,"Action, Adventure, Comedy",6.2
Johnny Dangerously,1984,"Comedy, Crime",6.5
Jolt,2021,"Action, Comedy, Crime",5.6
Suspiria,1977,"Crime, Horror",7.3
Rounders,1998,"Crime, Drama",7.3
Richard Jewell,2019,"Biography, Crime, Drama",7.5
Entrapment,1999,"Action, Crime, Romance",6.3
Bound by Honor,1993,"Crime, Drama",7.9
The Crying Game,1992,"Crime, Drama, Romance",7.2
Hackers,1995,"Crime, Drama, Romance",6.2
Miranda's Victim,2023,"Biography, Crime, Drama",8.9
The 39 Steps,1935,"Crime, Mystery, Thriller",7.6
Guns Akimbo,2019,"Action, Comedy, Crime",6.3
Carlito's Way,1993,"Crime, Drama, Thriller",7.9
The Girl Who Escaped: The Kara Robinson Story,2023,"Crime, Drama, Thriller",6.4
The Rainmaker,1997,"Crime, Drama, Thriller",7.2
Cop Land,1997,"Crime, Drama, Thriller",7.0
Lord of War,2005,"Crime, Drama",7.6
Papillon,2017,"Adventure, Biography, Crime",7.2
Austin Powers in Goldmember,2002,"Action, Adventure, Comedy",6.2
"Extremely Wicked, Shockingly Evil and Vile",2019,"Biography, Crime, Drama",6.7
Ocean's Twelve,2004,"Crime, Thriller",6.5
After Hours,1985,"Comedy, Crime, Drama",7.6
Devil's Knot,2013,"Biography, Crime, Drama",6.1
In the Line of Fire,1993,"Action, Crime, Drama",7.2
Body Double,1984,"Crime, Drama, Mystery",6.8
The Girl in the Spider's Web,2018,"Action, Crime, Drama",6.1
Finestkind,,"Crime, Drama, Thriller",
Juice,1992,"Action, Crime, Drama",7.0
Hitman,2007,"Action, Crime, Thriller",6.2
The Old Man & the Gun,2018,"Biography, Comedy, Crime",6.7
Cool Hand Luke,1967,"Crime, Drama",8.1
Live by Night,2016,"Action, Crime, Drama",6.4
Before the Devil Knows You're Dead,2007,"Crime, Drama, Thriller",7.3
The Big Four,2022,"Action, Comedy, Crime",6.1
The Hitch-Hiker,1953,"Crime, Drama, Film-Noir",6.9
The Last Boy Scout,1991,"Action, Comedy, Crime",7.0
The Call,2020,"Crime, Horror, Mystery",7.1
Cherry,2021,"Biography, Crime, Drama",6.6
Alpha Dog,2006,"Biography, Crime, Drama",6.9
RoboCop 2,1990,"Action, Crime, Sci-Fi",5.8
Fracture,2007,"Crime, Drama, Thriller",7.2
Crank,2006,"Action, Crime, Thriller",6.9
Top Secret!,1984,"Comedy, Crime, Music",7.2
Govinda Naam Mera,2022,"Comedy, Crime, Drama",6.5
Menace II Society,1993,"Crime, Drama, Thriller",7.5
Kiss Kiss Bang Bang,2005,"Comedy, Crime, Mystery",7.5
The French Connection,1971,"Action, Crime, Drama",7.7
Out of Sight,1998,"Comedy, Crime, Drama",7.0
Chip 'n Dale: Rescue Rangers,2022,"Animation, Action, Adventure",7.0
Bolt,2008,"Animation, Adventure, Comedy",6.8
Freedom Writers,2007,"Biography, Crime, Drama",7.6
Cruising,1980,"Crime, Drama, Mystery",6.5
Resurrection,2022,"Crime, Drama, Horror",5.9
The Girl with the Dragon Tattoo,2009,"Crime, Drama, Mystery",7.8
Charlie's Angels,2000,"Action, Adventure, Comedy",5.6
Serpico,1973,"Biography, Crime, Drama",7.7
Soylent Green,1973,"Crime, Mystery, Sci-Fi",7.0
Inherent Vice,2014,"Comedy, Crime, Drama",6.6
Double Jeopardy,1999,"Crime, Drama, Mystery",6.5
The Transporter,2002,"Action, Crime, Thriller",6.8
1922,2017,"Crime, Drama, Horror",6.2
Marathon Man,1976,"Crime, Drama, Thriller",7.4
The Pink Panther,2006,"Adventure, Comedy, Crime",5.6
Project Power,2020,"Action, Crime, Sci-Fi",6.0
RoboCop,2014,"Action, Crime, Sci-Fi",6.1
Walking Tall,2004,"Action, Crime",6.2
Funny Games,1997,"Crime, Drama, Thriller",7.5
Ocean's Thirteen,2007,"Crime, Thriller",6.9
Murder on the Orient Express,1974,"Crime, Drama, Mystery",7.2
CHIPS,2017,"Action, Comedy, Crime",6.0
Heist,2015,"Action, Crime, Drama",6.1
